(0.999997, 0.003314)
(0.999993, 0.006628)
(0.999987, 0.009942)
(0.999980, 0.013256)
(0.999972, 0.016570)
(0.999961, 0.019883)
(0.999950, 0.023196)
(0.999937, 0.026509)
(0.999922, 0.029822)
(0.999906, 0.033134)
(0.999888, 0.036446)
(0.999869, 0.039757)
(0.999848, 0.043068)
(0.999826, 0.046378)
(0.999803, 0.049688)
(0.999778, 0.052997)
(0.999751, 0.056306)
(0.999723, 0.059614)
(0.999693, 0.062921)
(0.999662, 0.066228)
(0.999630, 0.069534)
(0.999596, 0.072839)
(0.999560, 0.076143)
(0.999523, 0.079446)
(0.999485, 0.082748)
(0.999444, 0.086050)
(0.999403, 0.089350)
(0.999360, 0.092650)
(0.999315, 0.095948)
(0.999269, 0.099245)
(0.999222, 0.102542)
(0.999173, 0.105837)
(0.999123, 0.109130)
(0.999071, 0.112423)
(0.999017, 0.115714)
(0.998962, 0.119004)
(0.998906, 0.122293)
(0.998848, 0.125580)
(0.998789, 0.128866)
(0.998728, 0.132150)
(0.998665, 0.135433)
(0.998601, 0.138715)
(0.998536, 0.141994)
(0.998469, 0.145273)
(0.998401, 0.148549)
(0.998331, 0.151824)
(0.998260, 0.155097)
(0.998187, 0.158369)
(0.998113, 0.161639)
(0.998037, 0.164907)
(0.997959, 0.168173)
(0.997881, 0.171437)
(0.997800, 0.174699)
(0.997719, 0.177959)
(0.997635, 0.181218)
(0.997551, 0.184474)
(0.997465, 0.187728)
(0.997377, 0.190980)
(0.997288, 0.194230)
(0.997197, 0.197478)
(0.997105, 0.200723)
(0.997011, 0.203967)
(0.996916, 0.207208)
(0.996819, 0.210447)
(0.996721, 0.213683)
(0.996622, 0.216917)
(0.996521, 0.220149)
(0.996418, 0.223378)
(0.996314, 0.226604)
(0.996208, 0.229828)
(0.996101, 0.233050)
(0.995993, 0.236269)
(0.995883, 0.239485)
(0.995771, 0.242699)
(0.995658, 0.245910)
(0.995544, 0.249118)
(0.995428, 0.252324)
